id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1289923842010263553,1289923842010263553,1596376784000,2020-08-02,16:59:44,???? º?? ???????,1178457961318010881,rpatnammd,"Radhika Patnam, MD",,"COVID-19 is exacerbating issues that have always existed and I hope that it allows us to make real change in medicine. Thank you @brubaker1030 for writing this, it means the world to me and I’m sure others! #WomenInMedicine #FPMRS #change https://ja.ma/2PfT9lY ",['brubaker1030'],['https://ja.ma/2PfT9lY'],[],0,0,0,"['#womeninmedicine', '#fpmrs', '#change']",[],https://twitter.com/RPatnamMD/status/1289923842010263553,False,,0,,,,,,,"[{'user_id': '1178457961318010881', 'username': 'RPatnamMD'}, {'user_id': '914088820710109184', 'username': 'brubaker1030'}]",,,,
1289923841796366337,1289923841796366337,1596376784000,2020-08-02,16:59:44,???? º?? ???????,741718776647946240,breakingnews4uu,Morning News 24/7,,Why Covid-19 check results are taking so long  https://albahuth.info/why-covid-19-check-results-are-taking-so-long/ …,[],['https://albahuth.info/why-covid-19-check-results-are-taking-so-long/'],[],0,0,0,[],[],https://twitter.com/breakingnews4uu/status/1289923841796366337,False,,0,,,,,,,"[{'user_id': '741718776647946240', 'username': 'breakingnews4uu'}]",,,,
1289923839628124163,1289923839628124163,1596376783000,2020-08-02,16:59:43,???? º?? ???????,741718776647946240,breakingnews4uu,Morning News 24/7,,Want to hold how the White Condo is awarding Covid-19 vaccine contracts? Too rotten  https://albahuth.info/want-to-hold-how-the-white-condo-is-awarding-covid-19-vaccine-contracts-too-rotten/ …,[],['https://albahuth.info/want-to-hold-how-the-white-condo-is-awarding-covid-19-vaccine-contracts-too-rotten/'],[],0,0,0,[],[],https://twitter.com/breakingnews4uu/status/1289923839628124163,False,,0,,,,,,,"[{'user_id': '741718776647946240', 'username': 'breakingnews4uu'}]",,,,
1289923839418195968,1289921964472066055,1596376783000,2020-08-02,16:59:43,???? º?? ???????,1195429607874236416,cicidog2,cicidog,,"What it found was that when blood sugar is well-controlled and there's less glycemic variability, people do better when contracting COVID-19. When they have high levels of glycemic variability, which is indicative of insulin resistance, they fare much worse.",[],[],[],0,0,0,[],[],https://twitter.com/cicidog2/status/1289923839418195968,False,,0,,,,,,,"[{'user_id': '1195429607874236416', 'username': 'cicidog2'}]",,,,
1289923836100583424,1289923836100583424,1596376782000,2020-08-02,16:59:42,???? º?? ???????,3568569378,parthshastritoi,Parth Shastri,,"#Covid_19: The deaths in #Gujarat include 12 from #Surat, two each from #Ahmedabad, #Vadodara and #Bhavnagar, and one each from #DevbhoomiDwarka, #Gandhinagar, #Patan and #Rajkot #GujaratCoronaUpdate",[],[],[],0,0,0,"['#covid_19', '#gujarat', '#surat', '#ahmedabad', '#vadodara', '#bhavnagar', '#devbhoomidwarka', '#gandhinagar', '#patan', '#rajkot', '#gujaratcoronaupdate']",[],https://twitter.com/parthshastriTOI/status/1289923836100583424,False,,0,,,,,,,"[{'user_id': '3568569378', 'username': 'parthshastriTOI'}]",,,,
1289923831767814145,1289923831767814145,1596376781000,2020-08-02,16:59:41,???? º?? ???????,1249952074315354112,subhasishazra17,Subhasis Hazra,,"Amit Shah also affected by covid19 . Where is our safety ?
@PMOIndia
@ugc_india
@DrRPNishank
@HRDMinistry
@31Petitioners
#StudentsInSCForJustice pic.twitter.com/mgWuWULn82","['pmoindia', 'ugc_india', 'drrpnishank', 'hrdministry', '31petitioners']",[],['https://pbs.twimg.com/media/Eea6aNMUcAE-IBV.jpg'],0,0,0,['#studentsinscforjustice'],[],https://twitter.com/SubhasisHazra17/status/1289923831767814145,False,,0,,,,,,,"[{'user_id': '1249952074315354112', 'username': 'SubhasisHazra17'}, {'user_id': '471741741', 'username': 'PMOIndia'}, {'user_id': '870103719290982401', 'username': 'ugc_india'}, {'user_id': '2617066206', 'username': 'DrRPNishank'}, {'user_id': '2574232910', 'username': 'HRDMinistry'}, {'user_id': '1288165757054939137', 'username': '31Petitioners'}]",,,,
1289924039222280192,1289924039222280192,1596376831000,2020-08-02,17:00:31,???? º?? ???????,3393981484,shallcrossfp,Darrin J Shallcross,,5 productivity techniques to keep in mind during COVID-19  https://bit.ly/3f4yEDz ,[],['https://bit.ly/3f4yEDz'],[],0,0,0,[],[],https://twitter.com/shallcrossfp/status/1289924039222280192,False,,0,,,,,,,"[{'user_id': '3393981484', 'username': 'shallcrossfp'}]",,,,
1289924037854912513,1288966119676616704,1596376830000,2020-08-02,17:00:30,???? º?? ???????,37730191,fidobarret,Barret Van Allen,,"What a great endeavor.  Hopefully it will keep the spread of COVID-19 contained I the US.  Can you please build one on your Northern boarder.  
Sincerely Canada  pic.twitter.com/6WnpNvoSWL",['realdonaldtrump'],[],[],0,0,0,[],[],https://twitter.com/FidoBarret/status/1289924037854912513,False,,1,,,,,,,"[{'user_id': '37730191', 'username': 'FidoBarret'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1289924036982501376,1289924036982501376,1596376830000,2020-08-02,17:00:30,???? º?? ???????,1241350814741884928,lesbiancoven,aly 🎟,,our health care system is so overwhelmed right now and the fact our cases of COVID-19 just keep rising and even reaching a new peak of cases each day — help our frontliners out #VoluntaryECQ pic.twitter.com/PqKA21IUvE,[],[],['https://pbs.twimg.com/media/Eea7EggUcAIM6sj.jpg'],0,0,0,['#voluntaryecq'],[],https://twitter.com/lesbiancoven/status/1289924036982501376,False,,0,,,,,,,"[{'user_id': '1241350814741884928', 'username': 'lesbiancoven'}]",,,,
1289924034054955008,1289921332457734145,1596376830000,2020-08-02,17:00:30,???? º?? ???????,4718089993,erv461,E. Smith,,"How much does it cost to lease a grounded 737🧐🤓....At some point, we need to understand if they make more money parked or flying... The #airtravel industry is hurting but we can evolve into the new #COVID19 lifestyle.",['businessinsider'],[],[],0,0,0,"['#airtravel', '#covid19']",[],https://twitter.com/Erv461/status/1289924034054955008,False,,0,,,,,,,"[{'user_id': '4718089993', 'username': 'Erv461'}, {'user_id': '20562637', 'username': 'businessinsider'}]",,,,
